original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Too Close For Christmas,en,False,0,/csOCYypV3UojqqtAWGHsew2l1x.jpg,,764104,tt13273702,"When Hayley accepts an invitation to spend Christmas with her sister’s new in-laws, her seemingly perfect holiday takes a turn when Luke, Hayley's brother-in-law's brother, unexpectedly shows up. Still harboring a grudge against Luke for ending her last relationship, Hayley reluctantly spends time with Luke and slowly realizes she may have been too quick a judge on Luke.",6.795,/fhxw6cx1Ye0t2fXXWjDTytT8nHq.jpg,2020-12-04,0,90.0,Released,,Too Close For Christmas,False,6.5,4,"TV Movie,Romance,","Hideaway Pictures,HP Christmas Magic Productions,",,"en,","CA,",0,,,12,2,"Ernie Barbarash,"
Das Letzte Land,de,False,0,/nBHYq8uY4jp67iu4ODtVZTWuwu0.jpg,,570871,tt9474736,"Two dissimilar men in a small, old spaceship set off in search of a new home.",6.729,/6WTseQHJseAvBEBGb7jC5IPLGPu.jpg,2020-12-03,0,113.0,Released,,Final Voyage,False,6.0,1,"Drama,Science Fiction,Fantasy,",,,"de,","DE,",0,,"alien,raumschiff,weltraum,",3,2,"Marcel Barion,"
Le diable au coeur,fr,False,0,,,765750,,"Catherine Borowiak, 50 years old, is the head of a conditional release agency. Being in charge of 20 years old Hugo's case, recently released from jail on parole, she starts a relationship with him, a highly risky one.",6.672,/gX4bivklCIRZgGJelXR6vZKqr7P.jpg,2020-12-09,0,0.0,Released,,Le diable au coeur,False,6.2,6,"Drama,TV Movie,","French Cancan Production,France Télévisions,",,"fr,","FR,",0,,,6,3,"Christian Faure,"
Rok we mgle,pl,False,0,,,774007,,,6.643,/x1UL8zUH4okH8lfzLmMgwvhUIuE.jpg,2020-12-10,0,0.0,Released,,Rok we mgle,False,0.0,0,"Documentary,","Sekielski Brothers,Onet,",,,"PL,",0,,,3,1,"Tomasz Sekielski,"
Seize printemps,fr,False,0,/gXDbv3iP3TkAXXxKJobQK8U5oBX.jpg,,712134,tt12444426,"Suzanne is sixteen. She is bored with people her age. Every day to go to high school, she walks past a theater. There she meets a man older than her who becomes her obsession. Thanks to their age difference, they think they are no longer bored together and fall in love. But Suzanne feels that she risks missing out on her life, that of her sixteen years that she had such a hard time living like the others.",6.536,/78umlfwtZ3xpMFpqrU2rVJUWJjm.jpg,2020-12-09,0,73.0,Released,,Spring Blossom,False,8.0,1,"Drama,Romance,","Avenue B Productions,Eskwad,Bangumi,La Région Île-de-France,CNC,",,"fr,","FR,",0,,,10,7,"Suzanne Lindon,"
Enrnesto en la Tierra,es,False,8000,/unva7qFrcGep8R3TptMp6b3757B.jpg,,772824,tt13116810,"Ernesto on Earth is a film that undertakes a historical journey through the life of the revolutionary poet Ernesto Cardenal, capturing his essence, the legacy of his human experience and his spiritual commitment until the last days of his life. Through a poetic vision, the movie settles the union of his soul, history, love and poetry with Nicaraguan lands.",6.531,/yFozH4AFLcB3t0B7NSklEeT9qFf.jpg,2020-12-08,0,74.0,Released,,Ernesto on Earth,False,0.0,0,"Documentary,",,,,"CR,NI,",0,,,4,8,"Manuel Bonilla,"
Tiong Bahru Social Club,en,False,0,/ghI4Sor8VUA8KvlFCKM7j8YsocA.jpg,,743208,tt13081086,"Ah Bee goes on a comedic odyssey through Tiong Bahru Social Club, a data-driven project to create the happiest neighborhood in the world. Little by little, his encounters with the neighborhood's residents reveal the absurdity of life.",6.517,/88s89H0vnBsRXs11VIcWRCVspEg.jpg,2020-12-10,0,88.0,Released,The happiest neighbourhood in the world!,Tiong Bahru Social Club,False,0.0,0,"Comedy,","13 Little Pictures,Bert Pictures,Tiger Tiger Pictures,",,"cn,zh,en,ms,ta,","SG,",0,,,3,4,"Bee Thiam Tan,"
Disney Holiday Magic Quest,en,False,0,/Amq9yQBzRtBli5ooQzowTD63EPF.jpg,,766209,,"Raven-Symoné virtually hosts the challenge, which features “ZOMBIES 2” stars Milo Manheim, Kylee Russell, Ariel Martin, and Pearce Joza competing in a holiday adventure through Magic Kingdom Park. After iconic Disney villains Maleficent and Evil Queen steal holiday magic, the stars must overcome obstacles and complete challenges to restore the joy of the season. The challenges take place throughout Magic Kingdom Park and include iconic attractions and locations like Haunted Mansion and Cinderella Castle. The four stars are also competing for a grand prize that will benefit Toys for Tots, a nonprofit organization that delivers hope and the magic of the holidays to less fortunate children.",6.508,/pXmGA2prcVWpQB9KRXzXATnmhjw.jpg,2020-12-04,0,0.0,Released,,Disney Holiday Magic Quest,False,0.0,0,,,,"en,",,0,,,5,0,"Bee Thiam Tan,"
பாவ கதைகள்,ta,False,0,/wvdudMiRpt90XI90sySRhIc0kWF.jpg,https://www.netflix.com/title/81341216,769100,tt13206988,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",6.475,/jqnRVzGlj2yhxKBJezRs7hO4ULC.jpg,2020-12-18,0,0.0,Post Production,,Paava Kadhaigal,False,0.0,0,"Drama,",,,"ta,","IN,",0,,"anthology,",9,4,"Sudha Kongara Prasad,"
Tripping with Nils Frahm,en,False,0,/liyoKisRfbf94MLsnmBKrlMLaBg.jpg,,766159,,An illustration of Nils Frahm’s lauded ability as a composer and passionate live artist as well as the enchanting atmosphere of his already legendary Funkhaus shows.,6.426,/mxnJXCxbvqKKIicAVpAjDWCBV1T.jpg,2020-12-03,0,87.0,Released,,Tripping with Nils Frahm,False,7.5,2,"Music,","Plan B Entertainment,LEITER Verlag,",,,,0,,,1,11,"Benoit Toulemonde,"
